,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
869,11208.121941534066,11790.479270845077,11383.74011058101,"[0.0, 0.0]","[56.0, 58.0]",152.445,209.189,3822.5,3600.0,"[409.0278035013347, 143.1214707419448]","[350.5278035013347, 61.12147074194479]",24,14,0.9414,1.1189,0.9771,"[5, 30]",2,"[0.8054, 0.7335]","[0.3872, 0.6705, 0.6566, 0.5874]",0.2
870,730.8646400952888,1036.989017687164,730.8646400919911,"[0.0, 0.0]","[0.0, 0.0]",145.67000000000002,0.0,3244.5,0.0,"[3052.57421543468, 979.7279391905503]","[956.0742154346796, 405.72793919055033]",7,23,0.9967,1.0262,1.0862,"[10, 30]",2,"[0.443, 0.4694]","[0.6543, 0.8653, 0.946, 0.8001]",0.2
871,3950.3032780999647,4932.965533910624,3950.598528730289,"[0.0, 0.0]","[0.0, 0.0]",242.74,33.3,5316.5,1026.0,"[2950.585419280233, 1120.692598438111]","[300.0854192802328, 300.6925984381111]",12,19,0.988,0.9559,0.9571,"[20, 29]",2,"[0.2994, 0.6636]","[0.7321, 0.5511, 0.9625, 0.6866]",0.2
872,1182.4682708506907,1334.2406821673146,1182.468270868524,"[0.0, 0.0]","[182.0, 0.0]",39.02,0.0,859.5,0.0,"[1172.4447804747197, 612.617494474445]","[312.9447804747195, 612.617494474445]",8,14,0.9174,0.8134,1.1263,"[2, 30]",2,"[0.6667, 0.9583]","[0.5881, 0.9249, 0.868, 0.3179]",0.2
873,8180.752608671658,8394.59410352819,8197.645530450543,"[0.0, 56.0]","[0.0, 56.0]",103.65500000000002,144.84999999999997,2688.0,2690.0,"[471.3757644671497, 61.02865027740063]","[473.3757644671498, 61.028650277400516]",23,4,0.9001,1.0748,1.0971,"[0, 5]",2,"[0.9316, 0.8009]","[0.9467, 0.4537, 0.9515, 0.4948]",0.2
874,6910.745461039212,7388.4691780318035,6911.717300870344,"[0.0, 0.0]","[0.0, 71.0]",122.55000000000001,104.7,2545.5,1404.0,"[1032.678917323034, 487.73851988970114]","[711.1789173230342, 77.73851988970122]",9,15,1.1052,1.0814,1.0392,"[10, 15]",2,"[0.4661, 0.6026]","[0.2113, 0.2056, 0.3921, 0.2806]",0.2
875,6163.709122448067,6346.262051970445,6163.705526619274,"[301.0, 115.0]","[388.0, 115.0]",341.87749999999994,370.59749999999997,4656.5,4569.0,"[359.48351552975765, 76.64155454167016]","[271.98351552975714, 76.6415545416701]",15,7,1.1745,1.0366,0.8048,"[25, 29]",2,"[0.7619, 0.4233]","[0.6635, 0.3618, 0.4162, 0.6037]",0.2
876,2743.0038420240253,2743.0038415019176,2743.0038415019176,"[0.0, 29.0]","[0.0, 29.0]",0.0,0.0,0.0,0.0,"[951.0288964093515, 146.84078436379366]","[951.0288964093515, 146.84078436379366]",7,12,1.1745,1.1838,0.8832,"[9, 20]",2,"[0.8934, 0.6154]","[0.9946, 0.2093, 0.4397, 0.6985]",0.2
877,2110.4335506288435,2362.0936101872667,2110.4335506334382,"[0.0, 0.0]","[0.0, 0.0]",71.7,0.0,1928.0,0.0,"[2002.1745292785204, 612.6763007639561]","[566.17452927852, 366.67630076395614]",16,13,0.8929,0.8004,1.1029,[3],1,"[0.9142, 0.9079]","[0.7596, 0.5726, 0.6096, 0.3095]",0.2
878,10747.440794498469,11915.495883714946,10991.745280023764,"[0.0, 0.0]","[115.0, 95.0]",289.58,171.6375,6303.5,3540.0,"[2112.041568778234, 528.1243717227767]","[332.54156877823374, 36.1243717227767]",18,15,1.1285,1.1659,1.0148,"[5, 11]",2,"[0.6666, 0.384]","[0.3185, 0.7231, 0.745, 0.8017]",0.2
879,2146.964748768196,2639.9048150978833,2215.7797304263186,"[0.0, 0.0]","[122.0, 32.0]",150.07250000000002,44.22,3020.0,1048.0,"[1331.7891103343172, 596.2543896120208]","[343.78911033431734, 104.2543896120207]",7,2,1.1576,1.1745,1.1229,"[10, 23]",2,"[0.2694, 0.4696]","[0.3032, 0.6185, 0.7064, 0.6626]",0.2
880,2679.4077969710133,2920.5974707284367,2677.88838665729,"[255.0, 116.0]","[198.0, 116.0]",354.215,431.7474999999999,6177.5,6234.5,"[278.0934982026284, 40.10043812911648]","[335.0934982026289, 40.100438129116455]",20,0,1.1635,0.8085,0.9392,[23],1,"[0.5976, 0.2257]","[0.6898, 0.7729, 0.5334, 0.8058]",0.2
881,7382.027615312442,7900.086452958615,7414.431250119944,"[0.0, 0.0]","[91.0, 50.0]",145.6,153.57000000000002,3820.0,2822.0,"[795.9056588020864, 307.82835445180166]","[289.9056588020859, 61.82835445180196]",22,15,0.8885,0.8646,0.9488,"[9, 17]",2,"[0.8623, 0.5063]","[0.6713, 0.7767, 0.393, 0.3345]",0.2
