,centralized_coupled,decoupled,coordinated,decoupled_wds_penalties,coordinated_wds_penalties,decoupled_wds_cost,coordinated_wds_cost,decoupled_wds_vol,coordinated_wds_vol,decoupled_final_vol,coordinated_final_vol,t,start_time,wds_demand_factor,pds_demand_factor,pv_factor,outage_lines,n_outage_lines,tanks_state,batteries_state,final_tanks_ratio
136,515.3598198449686,515.3706908287718,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",9.25,0.0,114.0,0.0,"[651.4786754046855, 325.2440251456867]","[537.4786754046855, 325.2440251456867]",8,8,0.8521,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
137,515.3598198449686,515.4263344493303,515.3598194895653,"[0.0, 0.0]","[280.0, 0.0]",55.5,0.0,684.0,0.0,"[941.1218754046853, 244.09147514568664]","[257.12187540468494, 244.09147514568664]",8,8,0.98,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
138,515.4040489364905,591.344753189366,515.4038329618407,"[0.0, 0.0]","[272.0, 42.0]",136.58749999999998,37.0,1533.0,456.0,"[939.7298754046853, 386.35072514568674]","[354.72987540468546, 140.35072514568668]",8,8,1.1435,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
139,515.4041714302937,610.2054001366971,515.4038832836277,"[0.0, 0.0]","[380.0, 73.0]",147.64999999999998,37.0,1576.0,456.0,"[1060.803475404685, 279.4783251456865]","[268.8034754046852, 115.47832514568658]",8,8,1.1827,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
140,515.3598198449686,515.4037378999777,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",37.0,0.0,456.0,0.0,"[1023.9474754046856, 334.0635751456866]","[567.9474754046854, 334.0635751456866]",8,8,0.8382,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
141,515.3706236966588,529.0483534397353,515.3706154755935,"[0.0, 0.0]","[210.0, 0.0]",78.9,9.25,994.0,114.0,"[1052.0498754046844, 315.9394751456865]","[336.0498754046847, 233.93947514568657]",8,8,0.996,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
142,515.3706236966588,529.0483534397353,515.3706330637792,"[0.0, 0.0]","[187.0, 0.0]",78.9,9.25,994.0,114.0,"[1070.6818754046853, 321.3327251456866]","[354.6818754046851, 239.33272514568654]",8,8,0.9875,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
143,515.3816154631438,539.7809741675926,515.3815848279175,"[0.0, 0.0]","[288.0, 0.0]",94.8625,18.5,1119.0,228.0,"[1023.6098754046851, 271.52447514568667]","[296.609875404685, 189.52447514568667]",8,8,1.066,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
144,515.3598198449686,515.4149530876839,515.3598194895653,"[0.0, 0.0]","[0.0, 0.0]",46.25,0.0,570.0,0.0,"[1091.4770754046854, 320.6121751456867]","[521.477075404685, 320.6121751456867]",8,8,0.8594,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
145,515.3817092081172,554.3235458566501,515.3815825404789,"[0.0, 0.0]","[324.0, 0.0]",99.76249999999999,18.5,1201.0,228.0,"[912.8946754046855, 345.21252514568664]","[267.8946754046856, 181.21252514568664]",8,8,1.0791,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
146,515.4039205910045,611.4074133637266,515.4038329618407,"[0.0, 0.0]","[304.0, 51.0]",136.5875,37.0,1533.0,456.0,"[914.521875404685, 379.05397514568654]","[329.52187540468515, 133.05397514568648]",8,8,1.155,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
147,515.4036741661489,614.5413274781131,515.4038832836277,"[0.0, 0.0]","[394.0, 77.0]",168.5125,37.0,1783.0,456.0,"[1092.8434754046855, 358.3058251456864]","[257.84347540468536, 112.30582514568647]",8,8,1.1877,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
148,515.3598198449686,515.4263344493303,515.3598194895653,"[0.0, 0.0]","[247.0, 0.0]",55.5,0.0,684.0,0.0,"[967.8642754046854, 251.83237514568668]","[283.8642754046857, 251.83237514568668]",8,8,0.9678,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
149,515.3598198449686,515.4259565503935,515.3598194895653,"[0.0, 0.0]","[95.0, 0.0]",55.5,0.0,684.0,0.0,"[1089.520275404685, 287.04712514568666]","[405.5202754046853, 287.04712514568666]",8,8,0.9123,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
150,515.4040490752174,596.5934584539731,515.4038329618407,"[0.0, 0.0]","[289.0, 46.0]",142.75,37.0,1494.0,456.0,"[1215.7970754046846, 218.6071751456866]","[341.7970754046851, 136.6071751456866]",8,8,1.1494,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
151,515.3598198449686,515.4036740410329,515.3598194895653,"[0.0, 0.0]","[168.0, 0.0]",37.0,0.0,456.0,0.0,"[802.7746754046848, 270.04252514568657]","[346.7746754046848, 270.04252514568657]",8,8,0.9391,1,1,"[21, 17]",2,"[0.7, 0.7]","[0.7, 0.7, 0.7, 0.7]",0
