Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
11/05 20:00:00,2.236511231,0.9771623193,0,0,0,0,0,0,0.9610874365,0.2080978508,0.4326347491,0.6144651944
11/05 21:00:00,2.123578731,0.9220069887,0,0,0,0,0,0,0.8884001262,0.1923593562,0.3870035587,0.6355896896
11/05 22:00:00,1.921874673,0.838906344,0,0,0,0,0,0,0.7511019798,0.1626310886,0.3671645844,0.6207510198
11/05 23:00:00,1.531875686,0.7062971792,0,0,0,0,0,0,0.5572692607,0.1206617921,0.2965381771,0.5371804559
12/05 1081392:00:00,1.157232487,0.5592776287,0,0,0,0,0,0,0.38766554,0.083938638,0.1986024884,0.4667998207
11/06 01:00:00,0.7739405868,0.3921787417,0,0,0,0,0,0,0.2019090867,0.04371804063,0.1219729058,0.3861145536
11/06 02:00:00,0.6281378394,0.3287213916,0,0,0,0,0,0,0.121145513,0.02623082438,0.1050257048,0.3555097972
11/06 03:00:00,0.5777326616,0.9522309286,0,0.6382942978,0,0.01784220411,0.01784220411,0.01784220411,0.08076365526,0.01748721399,0.09002564373,0.3513879445
11/06 04:00:00,0.6104757393,2.642569,0,2.321829105,0,0.06442633724,0.06442633724,0.06442633724,0.08076365526,0.01748721399,0.08113081157,0.3464417212
11/06 05:00:00,0.6313387491,3.487954985,0,3.116683908,0,0.08645168872,0.08645168872,0.08645168872,0.08076365526,0.01748721399,0.09305535229,0.3333548388
11/06 06:00:00,0.7149078024,4.440993079,0,3.844927682,0,0.106651974,0.106651974,0.106651974,0.08884002279,0.01923593562,0.1079566619,0.3719972081
11/06 07:00:00,0.9049601994,4.508079982,0,3.499152941,0,0.09706075103,0.09706075103,0.09706075103,0.1534509832,0.03322571088,0.1711905619,0.4298061925
