Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
08/21  14:00:00,0.8138103911,0.6107153854,0,0,0,0,0,0.07848036474,0.01715689629,0.3632927366,0.3341803935
08/21  15:00:00,0.8407239808,0.6202919661,0,0,0,0,0,0.07848036474,0.01715689629,0.3716301641,0.3527565556
08/21  16:00:00,0.9611938752,0.6957907552,0,0,0,0,0,0.08338538755,0.01822920246,0.4216301052,0.41724918
08/21  17:00:00,1.172444064,0.8486907674,0,0,0,0,0,0.1079105016,0.02359073329,0.5133517587,0.50689107
08/21  18:00:00,1.29283788,0.9920370611,0,0,0,0,0,0.1814858114,0.03967532104,0.470646037,0.5503307107
08/21  19:00:00,1.40988022,1.024554862,0,0,0,0,0,0.3531616617,0.077206025,0.390763022,0.5680495115
08/21  20:00:00,1.694889442,0.9600577424,0,0,0,0,0,0.6033177298,0.1318936419,0.3513997732,0.5875782973
08/21  21:00:00,1.872570622,0.8736331839,0,0,0,0,0,0.77499358,0.1694243458,0.3335921806,0.5738605161
08/21  22:00:00,1.496233633,0.7255986169,0,0,0,0,0,0.57879267,0.1265321229,0.2736061058,0.4966027341
08/21  23:00:00,1.133473638,0.5644267764,0,0,0,0,0,0.4022118898,0.08792908667,0.1910941259,0.4315385355
08/21  24:00:00,0.7618717898,0.3944950278,0,0,0,0,0,0.2060109798,0.04503686375,0.1331758464,0.3569480999
08/22  01:00:00,0.6147285911,0.317336677,0,0,0,0,0,0.122625516,0.02680764229,0.1159402568,0.328655176
08/22  02:00:00,0.5568246657,0.5963788419,0,0.2966792824,0.007943727947,0.007943727947,0.007943727947,0.08338538755,0.01822920246,0.1017216665,0.3248446812
08/22  03:00:00,0.5607068743,1.265525545,0,0.9587988275,0.02567229157,0.02567229157,0.02567229157,0.08338538755,0.01822920246,0.09244790524,0.3202720875
08/22  04:00:00,0.5753633023,1.930203262,0,1.559641839,0.04176014706,0.04176014706,0.04176014706,0.08338538755,0.01822920246,0.1031147988,0.3081737665
08/22  05:00:00,0.6410621928,2.583306594,0,1.939106908,0.05192050357,0.05192050357,0.05192050357,0.08829041036,0.01930150863,0.1169526151,0.3438971552
08/22  06:00:00,0.8418130427,3.916970516,0,2.764899507,0.07403149053,0.07403149053,0.07403149053,0.1422456507,0.03109687646,0.1763996804,0.3973393447
08/22  07:00:00,1.093570338,2.980291351,0,1.690361002,0.0452602144,0.0452602144,0.0452602144,0.2501561743,0.05468761688,0.2630635087,0.4222028232
08/22  08:00:00,0.9652681857,1.774229879,0,0.5360703304,0.01435353635,0.01435353635,0.01435353635,0.1962009125,0.04289224667,0.3341733904,0.3569480999
08/22  09:00:00,0.8495934287,1.105243465,0,0,0,0,0,0.09810045598,0.02144612096,0.4055551543,0.3037916975
08/22  10:00:00,0.8507196172,0.9524927148,0,0,0,0,0,0.07848036474,0.01715689629,0.4234459809,0.3109363752
08/22  11:00:00,0.8675014492,0.8175751426,0,0,0,0,0,0.07848036474,0.01715689629,0.4401325506,0.3110316376
08/22  12:00:00,0.8509057166,0.7128324645,0,0,0,0,0,0.07848036474,0.01715689629,0.4287762483,0.3057922073
08/22  13:00:00,0.8252124658,0.6540848406,0,0,0,0,0,0.07848036474,0.01715689629,0.3925088745,0.3163663303
08/22  14:00:00,0.8138103911,0.6023263836,0,0,0,0,0,0.07848036474,0.01715689629,0.3632927366,0.3341803935
