Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
11/10 16:00:00,1.059239425,1.261621874,0,0.6301504329,0,0.01747933723,0.01747933723,0.01747933723,0.2180618217,0.04721548388,0.3746762665,0.3815805157
11/10 17:00:00,1.431242041,2.271893283,0,1.574687731,0,0.04367924933,0.04367924933,0.04367924933,0.3957419075,0.08568735963,0.4345646514,0.451342873
11/10 18:00:00,2.024913849,2.967119244,0,2.136653931,0,0.05926726804,0.05926726804,0.05926726804,0.7026437746,0.1521387588,0.5423285894,0.5483094582
11/10 19:00:00,2.373023828,3.44432344,0,2.493967821,0,0.06917856801,0.06917856801,0.06917856801,0.9610874365,0.2080978508,0.4891353938,0.5952985792
11/10 20:00:00,2.276063503,3.841681177,0,2.866229147,0,0.07950448532,0.07950448532,0.07950448532,0.9610874365,0.2080978508,0.392682536,0.6144651944
11/10 21:00:00,2.190990422,4.813620849,0,3.896275938,0,0.1080762902,0.1080762902,0.1080762902,0.8884001262,0.1923593562,0.3463389602,0.6355896896
11/10 22:00:00,2.011144723,5.557341926,0,4.71590251,0,0.1308113841,0.1308113841,0.1308113841,0.7511019798,0.1626310886,0.3256232509,0.6207510198
11/10 23:00:00,1.650860463,6.19674797,0,5.479543291,0,0.1519935242,0.1519935242,0.1519935242,0.5572692607,0.1206617921,0.2635294299,0.5371804559
12/10 1085064:00:00,1.314512667,6.909158924,0,6.323524162,0,0.1754041663,0.1754041663,0.1754041663,0.38766554,0.083938638,0.1804785022,0.4667998207
11/11 01:00:00,0.9795868826,7.591270748,0,7.137301027,0,0.1979769989,0.1979769989,0.1979769989,0.2019090867,0.04371804063,0.1296422027,0.3861145536
11/11 02:00:00,0.8450027349,8.035804258,0,7.652221056,0,0.2122600341,0.2122600341,0.2122600341,0.121145513,0.02623082438,0.1096305662,0.3555097972
11/11 03:00:00,0.7770537728,8.085907198,0,7.719162168,0,0.2141168705,0.2141168705,0.2141168705,0.08076365526,0.01748721399,0.09307208855,0.3513879445
11/11 04:00:00,0.7892673707,9.084116077,0,8.710862119,0,0.2416249971,0.2416249971,0.2416249971,0.08076365526,0.01748721399,0.08272378309,0.3464417212
11/11 05:00:00,0.7842374824,8.946699061,0,8.516513066,0,0.2362340739,0.2362340739,0.2362340739,0.08076365526,0.01748721399,0.09617170048,0.3333548388
11/11 06:00:00,0.8462742249,9.085464078,0,8.408534356,0,0.2332389219,0.2332389219,0.2332389219,0.08884002279,0.01923593562,0.1127361365,0.3719972081
11/11 07:00:00,1.041388637,9.1089549,0,7.970651002,0,0.2210927574,0.2210927574,0.2210927574,0.1534509832,0.03322571088,0.1835869927,0.4298061925
11/11 08:00:00,1.359519921,8.27239811,0,7.006998091,0,0.1943626097,0.1943626097,0.1943626097,0.2988254971,0.06470270013,0.2872018324,0.4567012815
11/11 09:00:00,1.278644137,6.499731633,0,5.276269428,0,0.1463550413,0.1463550413,0.1463550413,0.2907491295,0.0629539785,0.3722454341,0.3861145536
11/11 10:00:00,1.114518894,5.080156285,0,3.980261703,0,0.1104059173,0.1104059173,0.1104059173,0.1615273507,0.0349744325,0.4587704852,0.3286147082
11/11 11:00:00,1.090725908,4.017185872,0,3.058288428,0,0.08483189409,0.08483189409,0.08483189409,0.1372982481,0.02972826763,0.4822983164,0.336343182
11/11 12:00:00,1.064279388,2.191172021,0,1.356646349,0,0.0376311398,0.0376311398,0.0376311398,0.1372982481,0.02972826763,0.5029495039,0.3364462284
11/11 13:00:00,1.011694544,0.9593067902,0,0.218544778,0,0.006062072919,0.006062072919,0.006062072919,0.1372982481,0.02972826763,0.4876012742,0.3307786809
11/11 14:00:00,0.972680514,0.6913996789,0,0,0,0,0,0,0.1372982481,0.02972826763,0.4432111761,0.3422168222
11/11 15:00:00,0.9771863835,0.6636838197,0,0.01655764976,0,0.0004592819886,0.0004592819886,0.0004592819886,0.1534509832,0.03322571088,0.4083379239,0.3614864836
11/11 16:00:00,1.0907248,0.8686616343,0,0.2065459047,0,0.005729243898,0.005729243898,0.005729243898,0.2180618217,0.04721548388,0.4179117346,0.3815805157
11/11 17:00:00,1.451477112,1.533832561,0,0.7934890407,0,0.02201008173,0.02201008173,0.02201008173,0.3957419075,0.08568735963,0.4764688903,0.451342873
11/11 18:00:00,2.06157508,2.853809215,0,1.971442713,0,0.05468458041,0.05468458041,0.05468458041,0.7026437746,0.1521387588,0.5835725079,0.5483094582
11/11 19:00:00,2.393517652,2.808241094,0,1.789712756,0,0.0496436901,0.0496436901,0.0496436901,0.9610874365,0.2080978508,0.5291640951,0.5952985792
11/11 20:00:00,2.296764437,3.222359539,0,2.172198164,0,0.06025320663,0.06025320663,0.06025320663,0.9610874365,0.2080978508,0.4326347491,0.6144651944
11/11 21:00:00,2.189852688,3.374424081,0,2.389253244,0,0.06627395776,0.06627395776,0.06627395776,0.8884001262,0.1923593562,0.3870035587,0.6355896896
11/11 22:00:00,2.004835465,3.887064796,0,2.990833032,0,0.08296079227,0.08296079227,0.08296079227,0.7511019798,0.1626310886,0.3671645844,0.6207510198
11/11 23:00:00,1.626250402,4.158257897,0,3.402318274,0,0.09437471653,0.09437471653,0.09437471653,0.5572692607,0.1206617921,0.2965381771,0.5371804559
12/11 1085808:00:00,1.269468038,4.649214909,0,4.046222111,0,0.1122355506,0.1122355506,0.1122355506,0.38766554,0.083938638,0.1986024884,0.4667998207
11/12 01:00:00,0.9037037207,4.839991147,0,4.401624801,0,0.122093837,0.122093837,0.122093837,0.2019090867,0.04371804063,0.1296422027,0.3861145536
11/12 02:00:00,0.7714099208,5.366333831,0,4.99911453,0,0.13866722,0.13866722,0.13866722,0.121145513,0.02623082438,0.1096305662,0.3555097972
11/12 03:00:00,0.709139985,5.619346558,0,5.270791143,0,0.1462030827,0.1462030827,0.1462030827,0.08076365526,0.01748721399,0.09307208855,0.3513879445
