Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
05/15  09:00:00,0.8705249822,0.8454563754,0,0,0,0,0,0,0.07946101533,0.01720516212,0.4118600127,0.341772792
05/15  10:00:00,0.8795212467,0.7292014538,0,0,0,0,0,0,0.06621751265,0.01433763547,0.4289293764,0.3498107222
05/15  11:00:00,1.125934183,0.6227097964,0,0,0.1845781308,0.04397385806,0.2285519888,0.04397385806,0.06621751265,0.01433763547,0.4466831516,0.3499178946
05/15  12:00:00,1.409376927,0.5407791466,0,0,0.4285580458,0.09966614752,0.5282241933,0.09966614752,0.06621751265,0.01433763547,0.4363481728,0.3440234124
05/15  13:00:00,1.935635466,0.4966448385,0,0,0.8864982408,0.1939572917,1.080455533,0.1939572917,0.06621751265,0.01433763547,0.398479236,0.3559195491
05/15  14:00:00,2.369833234,0.4593621066,0,0,1.25263638,0.2714988539,1.524135233,0.2714988539,0.06621751265,0.01433763547,0.3689560641,0.3759607884
05/15  15:00:00,2.975364922,0.467332282,0,0,1.732028613,0.3664936652,2.098522278,0.3664936652,0.06621751265,0.01433763547,0.3792020887,0.3968594069
05/15  16:00:00,3.304315492,0.5231306461,0,0,1.89112723,0.4031349111,2.294262142,0.4031349111,0.07063201371,0.01529347995,0.434486733,0.4694151235
05/15  17:00:00,3.772203983,0.6398894294,0,0,2.086944703,0.4524988907,2.539443594,0.4524988907,0.0882900172,0.01911684655,0.534863171,0.5702643544
05/15  18:00:00,3.655469112,0.750074749,0,0,1.882869551,0.4281680961,2.311037647,0.4281680961,0.1545074787,0.03345448879,0.4871085273,0.61913497
05/15  19:00:00,3.279518476,0.778206639,0,0,1.491941713,0.3536399579,1.845581671,0.3536399579,0.3090150592,0.06690895502,0.3987177545,0.6390690369
05/15  20:00:00,3.102430711,0.7338968688,0,0,1.120698718,0.2842629922,1.404961711,0.2842629922,0.5429835759,0.1175686082,0.355651437,0.6610393794
05/15  21:00:00,2.967723634,0.6747672388,0,0,0.8715936791,0.2294099473,1.101003626,0.2294099473,0.7107346275,0.1538906169,0.3362622098,0.6456065534
05/15  22:00:00,2.328357973,0.5696185172,0,0,0.6286061127,0.1692396586,0.7978457713,0.1692396586,0.556227047,0.1204361281,0.2749332913,0.5586897349
05/15  23:00:00,1.547993458,0.4573846627,0,0,0.2957476285,0.08219868155,0.37794631,0.08219868155,0.3884760946,0.08411414196,0.1917399272,0.4854909839
05/15  24:00:00,0.8892043006,0.3347909347,0,0,0.07230899907,0.02010720627,0.09241620533,0.02010720627,0.1986524868,0.04301291094,0.1333217048,0.4015749927
05/16  01:00:00,0.6510761326,0.2813143258,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1161060438,0.3697447891
05/16  02:00:00,0.5837228633,0.2696731477,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1013727928,0.365457893
05/16  03:00:00,0.5693310118,0.2775037686,0,0,0,0,0,0,0.07946101533,0.01720516212,0.09212521671,0.3603136176
05/16  04:00:00,0.5669345761,0.3258820902,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1033396762,0.3467027225
05/16  05:00:00,0.6268652347,0.5266990103,0,0,0,0,0,0,0.08387551639,0.01816100433,0.1177103405,0.3868923735
05/16  06:00:00,0.7915018121,0.8971361958,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1792604211,0.4470160914
05/16  07:00:00,1.04292639,0.9906583774,0,0,0,0,0,0,0.1986524868,0.04301291094,0.2685469042,0.4749880885
05/16  08:00:00,0.9445625669,0.9422373476,0,0,0,0,0,0,0.1500929884,0.03249864883,0.3401699371,0.4015749927
05/16  09:00:00,0.8705249822,0.8376765503,0,0,0,0,0,0,0.07946101533,0.01720516212,0.4118600127,0.341772792
05/16  10:00:00,1.151160204,0.7218782013,0,0,0.2186405897,0.05299836735,0.2716389571,0.05299836735,0.06621751265,0.01433763547,0.4289293764,0.3498107222
05/16  11:00:00,1.407759702,0.6183927749,0,0,0.4141441055,0.09623340263,0.5103775081,0.09623340263,0.06621751265,0.01433763547,0.4466831516,0.3499178946
05/16  12:00:00,1.817327325,0.5393659166,0,0,0.7661782991,0.169996293,0.9361745921,0.169996293,0.06621751265,0.01433763547,0.4363481728,0.3440234124
05/16  13:00:00,2.186453618,0.4956411059,0,0,1.094638413,0.2366352718,1.331273685,0.2366352718,0.06621751265,0.01433763547,0.398479236,0.3559195491
05/16  14:00:00,2.65512516,0.4567695072,0,0,1.493449187,0.3159779725,1.80942716,0.3159779725,0.06621751265,0.01433763547,0.3689560641,0.3759607884
05/16  15:00:00,3.272950085,0.4648548726,0,0,1.986027783,0.4100796588,2.396107442,0.4100796588,0.06621751265,0.01433763547,0.3792020887,0.3968594069
05/16  16:00:00,3.558213849,0.5208312886,0,0,2.104936511,0.4432239875,2.548160499,0.4432239875,0.07063201371,0.01529347995,0.434486733,0.4694151235
05/16  17:00:00,3.968829176,0.6358774345,0,0,2.258205303,0.4778634846,2.736068787,0.4778634846,0.0882900172,0.01911684655,0.534863171,0.5702643544
05/16  18:00:00,3.960490516,0.7421630708,0,0,2.149914369,0.4661446826,2.616059051,0.4661446826,0.1545074787,0.03345448879,0.4871085273,0.61913497
05/16  19:00:00,3.520966975,0.7719378766,0,0,1.691597331,0.3954328378,2.087030169,0.3954328378,0.3090150592,0.06690895502,0.3987177545,0.6390690369
05/16  20:00:00,3.327426666,0.7267004803,0,0,1.310976783,0.3189808829,1.629957665,0.3189808829,0.5429835759,0.1175686082,0.355651437,0.6610393794
05/16  21:00:00,3.043366679,0.6681060623,0,0,0.9315336004,0.2451130713,1.176646672,0.2451130713,0.7107346275,0.1538906169,0.3362622098,0.6456065534
05/16  22:00:00,2.317096833,0.5659819579,0,0,0.6173505894,0.1692340419,0.7865846314,0.1692340419,0.556227047,0.1204361281,0.2749332913,0.5586897349
05/16  23:00:00,1.613367531,0.4543979771,0,0,0.3468826627,0.09643772087,0.4433203836,0.09643772087,0.3884760946,0.08411414196,0.1917399272,0.4854909839
05/16  24:00:00,0.9438591899,0.3319024077,0,0,0.1150688007,0.03200229397,0.1470710946,0.03200229397,0.1986524868,0.04301291094,0.1333217048,0.4015749927
05/17  01:00:00,0.6510761326,0.2788836608,0,0,0,0,0,0,0.1191915531,0.02580774656,0.1161060438,0.3697447891
05/17  02:00:00,0.5837228633,0.2692108153,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1013727928,0.365457893
05/17  03:00:00,0.5693310118,0.2781020941,0,0,0,0,0,0,0.07946101533,0.01720516212,0.09212521671,0.3603136176
05/17  04:00:00,0.5669345761,0.3259507418,0,0,0,0,0,0,0.07946101533,0.01720516212,0.1033396762,0.3467027225
