Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly)
01/30  05:00:00,0.9027948323,10.39079649,0,9.931434273,0,0.2982958104,0.2982958104,0.2982958104,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/30  06:00:00,0.9744629439,11.02882735,0,10.29107999,0,0.3091704178,0.3091704178,0.3091704178,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/30  07:00:00,1.266758451,12.46805031,0,11.21150388,0,0.3368903649,0.3368903649,0.3368903649,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/30  08:00:00,1.604057137,10.32119691,0,8.924121694,0,0.2683766861,0.2683766861,0.2683766861,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/30  09:00:00,1.508382569,9.407199535,0,8.061240776,0,0.2425222348,0.2425222348,0.2425222348,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/30  10:00:00,1.239564519,7.688307761,0,6.477899788,0,0.1947890288,0.1947890288,0.1947890288,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/30  11:00:00,1.186471347,6.267123259,0,5.2085897,0,0.1565816507,0.1565816507,0.1565816507,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/30  12:00:00,1.140505243,3.970159766,0,3.045596189,0,0.09153888478,0.09153888478,0.09153888478,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/30  13:00:00,1.081426607,2.462161297,0,1.640369647,0,0.04927912617,0.04927912617,0.04927912617,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/30  14:00:00,1.014299159,1.037763949,0,0.2751015292,0,0.008258791341,0.008258791341,0.008258791341,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/30  15:00:00,1.009492843,0.7098327474,0,0,0,0,0,0,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/30  16:00:00,1.096518548,0.7200007783,0,0,0,0,0,0,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/30  17:00:00,1.424085152,1.166732194,0,0.3681835328,0,0.01104852777,0.01104852777,0.01104852777,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/30  18:00:00,2.055026042,2.666699602,0,1.708109106,0,0.05120375716,0.05120375716,0.05120375716,0.654793535,0.1417780683,0.5368219875,0.6502026943
01/30  19:00:00,2.491911736,3.385757611,0,2.284104219,0,0.06838425985,0.06838425985,0.06838425985,0.9737954681,0.2108494361,0.4827326923,0.7059238799
01/30  20:00:00,2.462895333,3.54815494,0,2.420087053,0,0.072460822,0.072460822,0.072460822,1.032558912,0.2235731121,0.3854242283,0.7286522582
01/30  21:00:00,2.281743629,3.945928646,0,2.886914082,0,0.08644913443,0.08644913443,0.08644913443,0.8898475155,0.1926727497,0.3388458768,0.7537023526
01/30  22:00:00,2.081838166,4.255552859,0,3.290283706,0,0.09852404822,0.09852404822,0.09852404822,0.7471361211,0.1617724098,0.3180733985,0.7361061888
01/30  23:00:00,1.739922643,5.562667153,0,4.752220161,0,0.1423106087,0.1423106087,0.1423106087,0.5624508497,0.1217837268,0.2561458861,0.6370055714
01/30  24:00:00,1.395100485,6.592414429,0,5.945516258,0,0.1780612503,0.1780612503,0.1780612503,0.3861602118,0.08361269885,0.1734943359,0.5535459886
01/31  01:00:00,1.030025627,6.86936777,0,6.400317453,0,0.1916659694,0.1916659694,0.1916659694,0.2014749428,0.04362401581,0.115167851,0.4578668475
01/31  02:00:00,0.9129414057,8.057916736,0,7.668747601,0,0.2297954796,0.2297954796,0.2297954796,0.1175269902,0.02544735196,0.09837082448,0.4215747595
01/31  03:00:00,0.833308332,7.403925097,0,7.033766647,0,0.2108206945,0.2108206945,0.2108206945,0.08394788064,0.01817667514,0.0834501455,0.4166869362
01/31  04:00:00,0.8415424082,8.170373683,0,7.792078722,0,0.2336176685,0.2336176685,0.2336176685,0.08394788064,0.01817667514,0.07475263567,0.4108215483
01/31  05:00:00,0.8291596456,7.934199691,0,7.493352176,0,0.2246606236,0.2246606236,0.2246606236,0.08394788064,0.01817667514,0.08684575686,0.3953027093
01/31  06:00:00,0.8885648597,8.164987326,0,7.446159395,0,0.2232723337,0.2232723337,0.2232723337,0.08394788064,0.01817667514,0.1018159176,0.4411260527
01/31  07:00:00,1.148884661,8.538338878,0,7.302692443,0,0.2190165749,0.2190165749,0.2190165749,0.1930801059,0.04180636071,0.1650778447,0.5096777745
01/31  08:00:00,1.542923036,8.289450379,0,6.911558031,0,0.2072425851,0.2072425851,0.2072425851,0.3945550487,0.08543037652,0.2563982039,0.5415708215
01/31  09:00:00,1.430762768,6.826536437,0,5.49854468,0,0.1649024336,0.1649024336,0.1649024336,0.3777654765,0.08179504375,0.3282069664,0.4578668475
01/31  10:00:00,1.170708417,5.392215905,0,4.198774656,0,0.1259329271,0.1259329271,0.1259329271,0.1930801059,0.04180636071,0.3999813108,0.3896817125
01/31  11:00:00,1.152770937,5.143281435,0,4.098874741,0,0.1228812405,0.1228812405,0.1228812405,0.1595009665,0.0345356726,0.416780676,0.3988463812
01/31  12:00:00,1.134243802,3.760680223,0,2.845443215,0,0.08527744388,0.08527744388,0.08527744388,0.1595009665,0.0345356726,0.4357351423,0.3989685768
01/31  13:00:00,1.092455891,2.832134706,0,2.012122771,0,0.0603084106,0.0603084106,0.0603084106,0.1595009665,0.0345356726,0.4256370215,0.3922478197
01/31  14:00:00,1.068507214,2.851366545,0,2.084583427,0,0.06246684618,0.06246684618,0.06246684618,0.1595009665,0.0345356726,0.3859661991,0.4058115294
01/31  15:00:00,1.082265142,3.149343514,0,2.429709438,0,0.0727722987,0.0727722987,0.0727722987,0.167895801,0.03635335027,0.3563555889,0.4286621033
01/31  16:00:00,1.174130205,3.328994165,0,2.591204714,0,0.07761165683,0.07761165683,0.07761165683,0.2098696756,0.04544169348,0.3684909374,0.4524902419
01/31  17:00:00,1.523087,4.49311288,0,3.672823406,0,0.1100503759,0.1100503759,0.1100503759,0.3525810724,0.07634203331,0.428670867,0.5352166512
01/31  18:00:00,2.126688435,5.077470975,0,4.099577666,0,0.1228661493,0.1228661493,0.1228661493,0.654793535,0.1417780683,0.5368219875,0.6502026943
01/31  19:00:00,2.552219633,5.411420444,0,4.291738987,0,0.1286921566,0.1286921566,0.1286921566,0.9737954681,0.2108494361,0.4827326923,0.7059238799
01/31  20:00:00,2.540078982,6.13604166,0,4.989886298,0,0.1496444711,0.1496444711,0.1496444711,1.032558912,0.2235731121,0.3854242283,0.7286522582
01/31  21:00:00,2.368914238,6.86268901,0,5.789280637,0,0.1736197433,0.1736197433,0.1736197433,0.8898475155,0.1926727497,0.3388458768,0.7537023526
01/31  22:00:00,2.164998811,7.037268761,0,6.057276004,0,0.181684693,0.181684693,0.181684693,0.7471361211,0.1617724098,0.3180733985,0.7361061888
01/31  23:00:00,1.787599439,7.158576849,0,6.332274372,0,0.1899874048,0.1899874048,0.1899874048,0.5624508497,0.1217837268,0.2561458861,0.6370055714
01/31  24:00:00,1.416795753,7.316620394,0,6.656812637,0,0.1997565176,0.1997565176,0.1997565176,0.3861602118,0.08361269885,0.1734943359,0.5535459886
02/01 01:00:00,1.052008278,7.625445488,0,7.143793494,0,0.2143822317,0.2143822317,0.2143822317,0.1990247292,0.04309348752,0.1150364534,0.4602453766
02/01 02:00:00,0.9038825269,7.670278829,0,7.268801798,0,0.2181720111,0.2181720111,0.2181720111,0.117940602,0.02553688651,0.09824226904,0.4237647583
02/01 03:00:00,0.8437500616,7.800518979,0,7.418830843,0,0.2227073647,0.2227073647,0.2227073647,0.08108414636,0.01755660778,0.08332439911,0.4188515437
02/01 04:00:00,0.8330242915,7.935313562,0,7.546932623,0,0.2265712275,0.2265712275,0.2265712275,0.08108414636,0.01755660778,0.07463062367,0.4129556862
02/01 05:00:00,0.8507958801,8.706629641,0,8.255943044,0,0.2478472675,0.2478472675,0.2478472675,0.08108414636,0.01755660778,0.08672562857,0.3973562298
02/01 06:00:00,0.9113056302,8.668579077,0,7.939939626,0,0.238358128,0.238358128,0.238358128,0.08845543138,0.01915266488,0.1016957893,0.4434176166
02/01 07:00:00,1.134465582,8.928035074,0,7.684062947,0,0.2307123031,0.2307123031,0.2307123031,0.1695395266,0.03670927717,0.1649530237,0.5123254512
02/01 08:00:00,1.456570932,7.56683613,0,6.182529732,0,0.1856962399,0.1856962399,0.1856962399,0.339079155,0.07341855435,0.2562668063,0.5443841764
02/01 09:00:00,1.304337994,5.594550822,0,4.265792494,0,0.1281329085,0.1281329085,0.1281329085,0.3022226803,0.06543826885,0.3280727598,0.4602453766
02/01 10:00:00,1.061386901,3.526636383,0,2.340315502,0,0.07026284824,0.07026284824,0.07026284824,0.1474257028,0.03192109685,0.3998452204,0.3917060331
02/01 11:00:00,0.9847096382,1.13887161,0,0.1146172622,0,0.00343856082,0.00343856082,0.00343856082,0.117940602,0.02553688651,0.4166492785,0.4009183104
02/01 12:00:00,1.000348374,0.8869065124,0,0,0,0,0,0,0.117940602,0.02553688651,0.4356037447,0.4010411408
02/01 13:00:00,0.9834880398,0.7869600635,0,0,0,0,0,0,0.117940602,0.02553688651,0.4254990806,0.3942854707
02/01 14:00:00,0.9574513878,0.7330388024,0,0,0,0,0,0,0.117940602,0.02553688651,0.3858282581,0.4079196412
02/01 15:00:00,0.9597792337,0.6808181208,0,0,0,0,0,0,0.1253118766,0.02713293909,0.3562194986,0.4308889194
02/01 16:00:00,1.022766637,0.6932533737,0,0,0,0,0,0,0.1474257028,0.03192109685,0.3683529964,0.4548408405
02/01 17:00:00,1.264735937,0.7742117553,0,0,0,0,0,0,0.2285098276,0.04947772043,0.4285253911,0.5379969974
02/01 18:00:00,1.748509223,0.9392925305,0,0,0,0,0,0,0.442277106,0.09576331312,0.5366624334,0.6535803706
02/01 19:00:00,2.167268474,1.127609912,0,0.04157702218,0,0.001246864606,0.001246864606,0.001246864606,0.7592424372,0.1643937097,0.4825684454,0.7095910169
02/01 20:00:00,2.323493236,1.176506136,0,0.06257176822,0,0.001876078702,0.001876078702,0.001876078702,0.9730097157,0.2106793024,0.3852646742,0.7324374648
02/01 21:00:00,2.288718721,3.355480315,0,2.309761558,0,0.06920106896,0.06920106896,0.06920106896,0.9066681401,0.1963148066,0.3386910154,0.7576176895
